noc,numeric_id,Total_Gold,Total_Silver,Total_Bronze,Total_Medals,Season_Total_Medals_Winter,Season_Total_Medals_Summer,Gold_summer,Silver_summer,Bronze_summer,Gold_winter,Silver_winter,Bronze_winter
AFG,4,0,0,2,2,0,2,0,0,2,0,0,0
AHO,0,0,1,0,1,0,1,0,1,0,0,0,0
ALG,0,5,4,8,17,0,17,5,4,8,0,0,0
ANZ,0,20,4,5,29,0,29,20,4,5,0,0,0
ARG,32,91,92,91,274,0,274,91,92,91,0,0,0
ARM,51,2,5,9,16,0,16,2,5,9,0,0,0
AUS,36,348,455,517,1320,16,1304,342,452,510,6,3,7
AUT,40,108,186,156,450,280,170,29,88,53,79,98,103
AZE,31,7,12,25,44,0,44,7,12,25,0,0,0
BAH,0,14,11,15,40,0,40,14,11,15,0,0,0
BAR,0,0,0,1,1,0,1,0,0,1,0,0,0
BDI,108,1,1,0,2,0,2,1,1,0,0,0,0
BEL,56,98,197,173,468,13,455,96,193,166,2,4,7
BER,0,0,0,1,1,0,1,0,0,1,0,0,0
BLR,112,24,44,71,139,15,124,18,40,66,6,4,5
BOH,0,0,1,11,12,0,12,0,1,11,0,0,0
BOT,0,0,1,0,1,0,1,0,1,0,0,0,0
BRA,76,109,175,191,475,0,475,109,175,191,0,0,0
BRN,96,1,1,1,3,0,3,1,1,1,0,0,0
BUL,0,54,144,144,342,6,336,53,142,141,1,2,3
CAN,124,463,438,451,1352,611,741,158,239,344,305,199,107
CHI,0,3,9,20,32,0,32,3,9,20,0,0,0
CHN,156,350,347,292,989,80,909,334,317,258,16,30,34
CIV,384,1,1,1,3,0,3,1,1,1,0,0,0
CMR,120,20,1,1,22,0,22,20,1,1,0,0,0
COL,170,5,9,14,28,0,28,5,9,14,0,0,0
CRC,0,1,1,2,4,0,4,1,1,2,0,0,0
CRO,0,58,54,37,149,11,138,54,48,36,4,6,1
CUB,192,164,129,116,409,0,409,164,129,116,0,0,0
CYP,196,0,1,0,1,0,1,0,1,0,0,0,0
CZE,203,42,36,66,144,73,71,15,24,32,27,12,34
DEN,0,179,241,177,597,5,592,179,236,177,0,5,0
DJI,262,0,0,1,1,0,1,0,0,1,0,0,0
DOM,214,3,2,2,7,0,7,3,2,2,0,0,0
ECU,218,1,1,0,2,0,2,1,1,0,0,0,0
EGY,818,7,8,12,27,0,27,7,8,12,0,0,0
ERI,232,0,0,1,1,0,1,0,0,1,0,0,0
ESP,724,110,243,136,489,2,487,109,243,135,1,0,1
EST,233,13,12,25,50,7,43,9,10,24,4,2,1
ETH,231,22,9,22,53,0,53,22,9,22,0,0,0
EUN,0,127,71,81,279,59,220,92,61,67,35,10,14
FIJ,0,13,0,0,13,0,13,13,0,0,0,0,0
FIN,246,198,270,432,900,426,474,132,125,217,66,145,215
FRA,250,501,610,666,1777,150,1627,465,575,587,36,35,79
FRG,0,159,194,233,586,82,504,144,172,188,15,22,45
GAB,266,0,1,0,1,0,1,0,1,0,0,0,0
GBR,826,678,739,651,2068,83,1985,636,729,620,42,10,31
GDR,0,397,327,281,1005,162,843,339,277,227,58,50,54
GEO,268,8,6,18,32,0,32,8,6,18,0,0,0
GER,0,745,674,746,2165,386,1779,592,538,649,153,136,97
GHA,288,0,1,22,23,0,23,0,1,22,0,0,0
GRE,0,62,109,84,255,0,255,62,109,84,0,0,0
GRN,0,1,1,0,2,0,2,1,1,0,0,0,0
GUA,0,0,1,0,1,0,1,0,1,0,0,0,0
GUY,328,0,0,1,1,0,1,0,0,1,0,0,0
HAI,0,1,1,5,7,0,7,1,1,5,0,0,0
HKG,0,1,2,1,4,0,4,1,2,1,0,0,0
HUN,348,432,332,371,1135,12,1123,432,328,363,0,4,8
INA,0,11,17,13,41,0,41,11,17,13,0,0,0
IND,356,138,19,40,197,7,190,131,19,40,7,0,0
IOA,0,1,1,3,5,0,5,1,1,3,0,0,0
IRI,0,18,21,29,68,0,68,18,21,29,0,0,0
IRL,372,9,13,13,35,0,35,9,13,13,0,0,0
IRQ,368,0,0,1,1,0,1,0,0,1,0,0,0
ISL,352,0,15,2,17,0,17,0,15,2,0,0,0
ISR,376,1,1,7,9,0,9,1,1,7,0,0,0
ISV,0,0,1,0,1,0,1,0,1,0,0,0,0
ITA,380,575,531,531,1637,191,1446,518,474,454,57,57,77
JAM,388,38,75,44,157,0,157,38,75,44,0,0,0
JOR,400,1,0,0,1,0,1,1,0,0,0,0,0
JPN,392,247,309,357,913,63,850,230,287,333,17,22,24
KAZ,398,20,25,32,77,7,70,19,22,29,1,3,3
KEN,404,34,41,31,106,0,106,34,41,31,0,0,0
KGZ,417,0,1,2,3,0,3,0,1,2,0,0,0
KOR,410,221,232,185,638,86,552,171,206,175,50,26,10
KOS,0,1,0,0,1,0,1,1,0,0,0,0,0
KSA,0,0,1,5,6,0,6,0,1,5,0,0,0
KUW,0,0,0,2,2,0,2,0,0,2,0,0,0
LAT,0,3,19,13,35,15,20,3,11,6,0,8,7
LIB,0,0,2,2,4,0,4,0,2,2,0,0,0
LIE,0,2,2,5,9,9,0,0,0,0,2,2,5
LTU,440,6,7,48,61,0,61,6,7,48,0,0,0
LUX,442,4,4,0,8,2,6,4,2,0,0,2,0
MAR,504,6,5,12,23,0,23,6,5,12,0,0,0
MAS,0,0,11,5,16,0,16,0,11,5,0,0,0
MDA,498,0,3,5,8,0,8,0,3,5,0,0,0
MEX,484,30,26,54,110,0,110,30,26,54,0,0,0
MGL,0,2,10,14,26,0,26,2,10,14,0,0,0
MKD,807,0,0,1,1,0,1,0,0,1,0,0,0
MNE,499,0,14,0,14,0,14,0,14,0,0,0,0
MON,0,0,0,1,1,0,1,0,0,1,0,0,0
MOZ,508,1,0,1,2,0,2,1,0,1,0,0,0
MRI,0,0,0,1,1,0,1,0,0,1,0,0,0
NAM,516,0,4,0,4,0,4,0,4,0,0,0,0
NED,0,287,340,413,1040,122,918,245,302,371,42,38,42
NEP,0,1,0,0,1,1,0,0,0,0,1,0,0
NGR,0,23,30,46,99,0,99,23,30,46,0,0,0
NIG,0,0,1,1,2,0,2,0,1,1,0,0,0
NOR,578,378,361,294,1033,443,590,227,196,167,151,165,127
NZL,554,90,56,82,228,1,227,90,55,82,0,1,0
PAK,586,42,45,34,121,0,121,42,45,34,0,0,0
PAN,591,1,0,2,3,0,3,1,0,2,0,0,0
PAR,0,0,17,0,17,0,17,0,17,0,0,0,0
PER,604,1,14,0,15,0,15,1,14,0,0,0,0
PHI,0,0,3,7,10,0,10,0,3,7,0,0,0
POL,616,117,195,253,565,27,538,111,185,242,6,10,11
POR,0,4,11,26,41,0,41,4,11,26,0,0,0
PRK,408,16,16,35,67,2,65,16,15,34,0,1,1
PUR,0,1,2,6,9,0,9,1,2,6,0,0,0
QAT,634,0,1,4,5,0,5,0,1,4,0,0,0
ROU,642,161,200,292,653,2,651,161,200,290,0,0,2
RSA,0,32,47,52,131,0,131,32,47,52,0,0,0
RUS,643,390,367,408,1165,260,905,296,278,331,94,89,77
SCG,0,12,26,26,64,0,64,12,26,26,0,0,0
SEN,686,0,1,0,1,0,1,0,1,0,0,0,0
SGP,0,1,4,4,9,0,9,1,4,4,0,0,0
SLO,0,8,13,27,48,18,30,6,9,15,2,4,12
SRB,688,15,29,41,85,0,85,15,29,41,0,0,0
SRI,0,0,2,0,2,0,2,0,2,0,0,0,0
SUD,0,0,1,0,1,0,1,0,1,0,0,0,0
SUI,0,175,248,268,691,275,416,99,178,139,76,70,129
SUR,740,1,0,1,2,0,2,1,0,1,0,0,0
SVK,703,15,19,13,47,5,42,13,17,12,2,2,1
SWE,752,479,522,535,1536,428,1108,354,396,358,125,126,177
SYR,760,1,1,1,3,0,3,1,1,1,0,0,0
TAN,0,0,2,0,2,0,2,0,2,0,0,0,0
TCH,0,81,225,182,488,158,330,79,144,107,2,81,75
TGA,0,0,1,0,1,0,1,0,1,0,0,0,0
THA,764,9,8,13,30,0,30,9,8,13,0,0,0
TJK,762,1,1,2,4,0,4,1,1,2,0,0,0
TOG,0,0,0,1,1,0,1,0,0,1,0,0,0
TPE,0,3,28,18,49,0,49,3,28,18,0,0,0
TTO,780,7,8,17,32,0,32,7,8,17,0,0,0
TUN,788,3,3,7,13,0,13,3,3,7,0,0,0
TUR,792,40,27,28,95,0,95,40,27,28,0,0,0
UAE,0,1,0,1,2,0,2,1,0,1,0,0,0
UAR,0,0,1,1,2,0,2,0,1,1,0,0,0
UGA,800,2,3,2,7,0,7,2,3,2,0,0,0
UKR,804,47,52,100,199,11,188,42,51,95,5,1,5
URS,0,1082,732,689,2503,440,2063,832,635,596,250,97,93
URU,0,31,2,30,63,0,63,31,2,30,0,0,0
USA,840,2638,1641,1358,5637,635,5002,2472,1333,1197,166,308,161
UZB,860,10,7,17,34,1,33,9,7,17,1,0,0
VEN,862,2,3,10,15,0,15,2,3,10,0,0,0
VIE,0,1,3,0,4,0,4,1,3,0,0,0,0
WIF,0,0,0,5,5,0,5,0,0,5,0,0,0
YUG,0,130,167,93,390,7,383,130,161,92,0,6,1
ZAM,0,0,1,1,2,0,2,0,1,1,0,0,0
ZIM,0,17,4,1,22,0,22,17,4,1,0,0,0
